Amazon_unscaled,Amazon_monthly,isPartial,scale,Amazon
92,,,,
99,,,,
95,,,,
95,,,,
91,,,,
96,,,,
96,65.0,False,0.65,62.400000000000006
90,65.0,,0.65,58.5
86,65.0,,0.65,55.9
90,65.0,,0.65,58.5
88,65.0,,0.65,57.2
85,65.0,,0.65,55.25
89,65.0,,0.65,57.85
93,63.0,False,0.63,58.59
87,63.0,,0.63,54.81
83,63.0,,0.63,52.29
85,63.0,,0.63,53.55
88,63.0,,0.63,55.44
87,63.0,,0.63,54.81
91,63.0,,0.63,57.33
100,64.0,False,0.64,64.0
91,64.0,,0.64,58.24
90,64.0,,0.64,57.6
86,64.0,,0.64,55.04
85,64.0,,0.64,54.4
83,64.0,,0.64,53.120000000000005
86,64.0,,0.64,55.04
92,62.0,False,0.62,57.04
84,62.0,,0.62,52.08
86,62.0,,0.62,53.32
84,62.0,,0.62,52.08
91,62.0,,0.62,56.42
93,62.0,,0.62,57.66
96,62.0,,0.62,59.519999999999996
99,60.0,False,0.6,59.4
93,60.0,,0.6,55.8
91,60.0,,0.6,54.6
90,60.0,,0.6,54.0
88,60.0,,0.6,52.8
88,60.0,,0.6,52.8
92,60.0,,0.6,55.199999999999996
100,58.0,False,0.58,57.99999999999999
95,58.0,,0.58,55.099999999999994
88,58.0,,0.58,51.04
82,58.0,,0.58,47.559999999999995
84,58.0,,0.58,48.72
84,58.0,,0.58,48.72
89,58.0,,0.58,51.62
91,57.0,False,0.57,51.87
87,57.0,,0.57,49.589999999999996
88,57.0,,0.57,50.16
83,57.0,,0.57,47.309999999999995
85,57.0,,0.57,48.449999999999996
87,57.0,,0.57,49.589999999999996
91,57.0,,0.57,51.87
95,59.0,False,0.59,56.05
92,59.0,,0.59,54.279999999999994
89,59.0,,0.59,52.51
87,59.0,,0.59,51.33
94,59.0,,0.59,55.459999999999994
94,59.0,,0.59,55.459999999999994
99,59.0,,0.59,58.41
100,58.0,False,0.58,57.99999999999999
95,58.0,,0.58,55.099999999999994
94,58.0,,0.58,54.519999999999996
93,58.0,,0.58,53.94
91,58.0,,0.58,52.779999999999994
92,58.0,,0.58,53.36
94,58.0,,0.58,54.519999999999996
100,57.0,False,0.57,56.99999999999999
94,57.0,,0.57,53.58
94,57.0,,0.57,53.58
89,57.0,,0.57,50.73
90,57.0,,0.57,51.3
89,57.0,,0.57,50.73
95,57.0,,0.57,54.15
98,59.0,False,0.59,57.82
95,59.0,,0.59,56.05
94,59.0,,0.59,55.459999999999994
94,59.0,,0.59,55.459999999999994
89,59.0,,0.59,52.51
88,59.0,,0.59,51.919999999999995
93,59.0,,0.59,54.87
99,58.0,False,0.58,57.419999999999995
93,58.0,,0.58,53.94
94,58.0,,0.58,54.519999999999996
94,58.0,,0.58,54.519999999999996
93,58.0,,0.58,53.94
93,58.0,,0.58,53.94
88,58.0,,0.58,51.04
94,59.0,False,0.59,55.459999999999994
99,59.0,,0.59,58.41
96,59.0,,0.59,56.64
95,59.0,,0.59,56.05
92,59.0,,0.59,54.279999999999994
89,59.0,,0.59,52.51
93,59.0,,0.59,54.87
98,55.0,False,0.55,53.900000000000006
93,55.0,,0.55,51.150000000000006
90,55.0,,0.55,49.50000000000001
87,55.0,,0.55,47.85
89,55.0,,0.55,48.95
87,55.0,,0.55,47.85
90,55.0,,0.55,49.50000000000001
99,57.0,False,0.57,56.42999999999999
93,57.0,,0.57,53.01
92,57.0,,0.57,52.44
89,57.0,,0.57,50.73
90,57.0,,0.57,51.3
86,57.0,,0.57,49.019999999999996
93,57.0,,0.57,53.01
100,56.0,False,0.56,56.00000000000001
95,56.0,,0.56,53.2
94,56.0,,0.56,52.64000000000001
93,56.0,,0.56,52.080000000000005
91,56.0,,0.56,50.96000000000001
91,56.0,,0.56,50.96000000000001
90,56.0,,0.56,50.400000000000006
97,57.0,False,0.57,55.28999999999999
93,57.0,,0.57,53.01
100,57.0,,0.57,56.99999999999999
95,57.0,,0.57,54.15
93,57.0,,0.57,53.01
91,57.0,,0.57,51.87
93,57.0,,0.57,53.01
95,55.0,False,0.55,52.25000000000001
95,55.0,,0.55,52.25000000000001
95,55.0,,0.55,52.25000000000001
96,55.0,,0.55,52.800000000000004
97,55.0,,0.55,53.35
92,55.0,,0.55,50.6
92,55.0,,0.55,50.6
99,55.0,False,0.55,54.45
97,55.0,,0.55,53.35
95,55.0,,0.55,52.25000000000001
97,55.0,,0.55,53.35
93,55.0,,0.55,51.150000000000006
91,55.0,,0.55,50.050000000000004
88,55.0,,0.55,48.400000000000006
95,55.0,False,0.55,52.25000000000001
97,55.0,,0.55,53.35
96,55.0,,0.55,52.800000000000004
95,55.0,,0.55,52.25000000000001
92,55.0,,0.55,50.6
90,55.0,,0.55,49.50000000000001
89,55.0,,0.55,48.95
97,57.0,False,0.57,55.28999999999999
94,57.0,,0.57,53.58
96,57.0,,0.57,54.72
96,57.0,,0.57,54.72
98,57.0,,0.57,55.85999999999999
90,57.0,,0.57,51.3
93,57.0,,0.57,53.01
97,57.0,False,0.57,55.28999999999999
96,57.0,,0.57,54.72
94,57.0,,0.57,53.58
96,57.0,,0.57,54.72
92,57.0,,0.57,52.44
91,57.0,,0.57,51.87
92,57.0,,0.57,52.44
100,56.0,False,0.56,56.00000000000001
96,56.0,,0.56,53.760000000000005
95,56.0,,0.56,53.2
94,56.0,,0.56,52.64000000000001
91,56.0,,0.56,50.96000000000001
87,56.0,,0.56,48.720000000000006
90,56.0,,0.56,50.400000000000006
93,55.0,False,0.55,51.150000000000006
91,55.0,,0.55,50.050000000000004
90,55.0,,0.55,49.50000000000001
89,55.0,,0.55,48.95
90,55.0,,0.55,49.50000000000001
87,55.0,,0.55,47.85
88,55.0,,0.55,48.400000000000006
94,55.0,False,0.55,51.7
91,55.0,,0.55,50.050000000000004
91,55.0,,0.55,50.050000000000004
89,55.0,,0.55,48.95
92,55.0,,0.55,50.6
90,55.0,,0.55,49.50000000000001
88,55.0,,0.55,48.400000000000006
48,56.0,False,0.56,26.880000000000003
46,56.0,,0.56,25.76
45,56.0,,0.56,25.200000000000003
46,56.0,,0.56,25.76
46,56.0,,0.56,25.76
46,56.0,,0.56,25.76
45,56.0,,0.56,25.200000000000003
50,60.0,False,0.6,30.0
51,60.0,,0.6,30.599999999999998
48,60.0,,0.6,28.799999999999997
48,60.0,,0.6,28.799999999999997
50,60.0,,0.6,30.0
47,60.0,,0.6,28.2
48,60.0,,0.6,28.799999999999997
52,75.0,False,0.75,39.0
100,75.0,,0.75,75.0
83,75.0,,0.75,62.25
57,75.0,,0.75,42.75
49,75.0,,0.75,36.75
48,75.0,,0.75,36.0
49,75.0,,0.75,36.75
51,60.0,False,0.6,30.599999999999998
50,60.0,,0.6,30.0
49,60.0,,0.6,29.4
49,60.0,,0.6,29.4
47,60.0,,0.6,28.2
47,60.0,,0.6,28.2
46,60.0,,0.6,27.599999999999998
51,58.0,False,0.58,29.58
51,58.0,,0.58,29.58
51,58.0,,0.58,29.58
97,58.0,,0.58,56.26
97,58.0,,0.58,56.26
95,58.0,,0.58,55.099999999999994
92,58.0,,0.58,53.36
98,60.0,False,0.6,58.8
99,60.0,,0.6,59.4
99,60.0,,0.6,59.4
98,60.0,,0.6,58.8
100,60.0,,0.6,60.0
97,60.0,,0.6,58.199999999999996
99,60.0,,0.6,59.4
99,58.0,False,0.58,57.419999999999995
99,58.0,,0.58,57.419999999999995
97,58.0,,0.58,56.26
94,58.0,,0.58,54.519999999999996
95,58.0,,0.58,55.099999999999994
93,58.0,,0.58,53.94
93,58.0,,0.58,53.94
99,60.0,False,0.6,59.4
100,60.0,,0.6,60.0
97,60.0,,0.6,58.199999999999996
96,60.0,,0.6,57.599999999999994
96,60.0,,0.6,57.599999999999994
92,60.0,,0.6,55.199999999999996
95,60.0,,0.6,57.0
100,60.0,False,0.6,60.0
98,60.0,,0.6,58.8
96,60.0,,0.6,57.599999999999994
99,60.0,,0.6,59.4
97,60.0,,0.6,58.199999999999996
96,60.0,,0.6,57.599999999999994
91,60.0,,0.6,54.6
97,61.0,False,0.61,59.17
96,61.0,,0.61,58.56
98,61.0,,0.61,59.78
