Date,Disney_unscaled,Disney_monthly,isPartial,scale,Disney
1/1/2018,98,,,,
1/2/2018,87,,,,
1/3/2018,86,,,,
1/4/2018,90,,,,
1/5/2018,84,,,,
1/6/2018,93,,,,
1/7/2018,100,36,FALSE,0.36,36
1/8/2018,78,36,,0.36,28.08
1/9/2018,76,36,,0.36,27.36
1/10/2018,74,36,,0.36,26.64
1/11/2018,74,36,,0.36,26.64
1/12/2018,77,36,,0.36,27.72
1/13/2018,92,36,,0.36,33.12
1/14/2018,94,34,FALSE,0.34,31.96
1/15/2018,79,34,,0.34,26.86
1/16/2018,73,34,,0.34,24.82
1/17/2018,71,34,,0.34,24.14
1/18/2018,70,34,,0.34,23.8
1/19/2018,74,34,,0.34,25.16
1/20/2018,83,34,,0.34,28.22
1/21/2018,90,33,FALSE,0.33,29.7
1/22/2018,73,33,,0.33,24.09
1/23/2018,73,33,,0.33,24.09
1/24/2018,72,33,,0.33,23.76
1/25/2018,73,33,,0.33,24.09
1/26/2018,76,33,,0.33,25.08
1/27/2018,86,33,,0.33,28.38
1/28/2018,90,32,FALSE,0.32,28.8
1/29/2018,73,32,,0.32,23.36
1/30/2018,69,32,,0.32,22.08
1/31/2018,67,32,,0.32,21.44
2/1/2018,73,32,,0.32,23.36
2/2/2018,76,32,,0.32,24.32
2/3/2018,90,32,,0.32,28.8
2/4/2018,91,32,FALSE,0.32,29.12
2/5/2018,73,32,,0.32,23.36
2/6/2018,75,32,,0.32,24
2/7/2018,76,32,,0.32,24.32
2/8/2018,74,32,,0.32,23.68
2/9/2018,77,32,,0.32,24.64
2/10/2018,85,32,,0.32,27.2
2/11/2018,98,34,FALSE,0.34,33.32
2/12/2018,82,34,,0.34,27.88
2/13/2018,77,34,,0.34,26.18
2/14/2018,71,34,,0.34,24.14
2/15/2018,71,34,,0.34,24.14
2/16/2018,79,34,,0.34,26.86
2/17/2018,98,34,,0.34,33.32
2/18/2018,100,33,FALSE,0.33,33
2/19/2018,85,33,,0.33,28.05
2/20/2018,80,33,,0.33,26.4
2/21/2018,74,33,,0.33,24.42
2/22/2018,76,33,,0.33,25.08
2/23/2018,82,33,,0.33,27.06
2/24/2018,92,33,,0.33,30.36
2/25/2018,98,33,FALSE,0.33,32.34
2/26/2018,79,33,,0.33,26.07
2/27/2018,78,33,,0.33,25.74
2/28/2018,75,33,,0.33,24.75
3/1/2018,82,33,,0.33,27.06
3/2/2018,84,33,,0.33,27.72
3/3/2018,94,33,,0.33,31.02
3/4/2018,100,33,FALSE,0.33,33
3/5/2018,82,33,,0.33,27.06
3/6/2018,79,33,,0.33,26.07
3/7/2018,80,33,,0.33,26.4
3/8/2018,80,33,,0.33,26.4
3/9/2018,84,33,,0.33,27.72
3/10/2018,95,33,,0.33,31.35
3/11/2018,98,32,FALSE,0.32,31.36
3/12/2018,82,32,,0.32,26.24
3/13/2018,78,32,,0.32,24.96
3/14/2018,78,32,,0.32,24.96
3/15/2018,74,32,,0.32,23.68
3/16/2018,77,32,,0.32,24.64
3/17/2018,91,32,,0.32,29.12
3/18/2018,99,32,FALSE,0.32,31.68
3/19/2018,79,32,,0.32,25.28
3/20/2018,76,32,,0.32,24.32
3/21/2018,77,32,,0.32,24.64
3/22/2018,78,32,,0.32,24.96
3/23/2018,79,32,,0.32,25.28
3/24/2018,90,32,,0.32,28.8
3/25/2018,95,33,FALSE,0.33,31.35
3/26/2018,81,33,,0.33,26.73
3/27/2018,81,33,,0.33,26.73
3/28/2018,83,33,,0.33,27.39
3/29/2018,83,33,,0.33,27.39
3/30/2018,88,33,,0.33,29.04
3/31/2018,89,33,,0.33,29.37
4/1/2018,100,32,FALSE,0.32,32
4/2/2018,89,32,,0.32,28.48
4/3/2018,82,32,,0.32,26.24
4/4/2018,77,32,,0.32,24.64
4/5/2018,78,32,,0.32,24.96
4/6/2018,78,32,,0.32,24.96
4/7/2018,91,32,,0.32,29.12
4/8/2018,92,30,FALSE,0.3,27.6
4/9/2018,78,30,,0.3,23.4
4/10/2018,73,30,,0.3,21.9
4/11/2018,72,30,,0.3,21.6
4/12/2018,74,30,,0.3,22.2
4/13/2018,75,30,,0.3,22.5
4/14/2018,84,30,,0.3,25.2
4/15/2018,89,30,FALSE,0.3,26.7
4/16/2018,75,30,,0.3,22.5
4/17/2018,76,30,,0.3,22.8
4/18/2018,73,30,,0.3,21.9
4/19/2018,75,30,,0.3,22.5
4/20/2018,73,30,,0.3,21.9
