Intel_unscaled,Intel_monthly,isPartial,scale,Intel
29,,,,
36,,,,
73,,,,
100,,,,
82,,,,
53,,,,
45,100.0,False,1.0,45.0
52,100.0,,1.0,52.0
51,100.0,,1.0,51.0
51,100.0,,1.0,51.0
48,100.0,,1.0,48.0
46,100.0,,1.0,46.0
38,100.0,,1.0,38.0
38,80.0,False,0.8,30.400000000000002
41,80.0,,0.8,32.800000000000004
41,80.0,,0.8,32.800000000000004
39,80.0,,0.8,31.200000000000003
39,80.0,,0.8,31.200000000000003
41,80.0,,0.8,32.800000000000004
35,80.0,,0.8,28.0
32,80.0,False,0.8,25.6
39,80.0,,0.8,31.200000000000003
41,80.0,,0.8,32.800000000000004
40,80.0,,0.8,32.0
40,80.0,,0.8,32.0
40,80.0,,0.8,32.0
34,80.0,,0.8,27.200000000000003
32,76.0,False,0.76,24.32
38,76.0,,0.76,28.88
39,76.0,,0.76,29.64
38,76.0,,0.76,28.88
100,76.0,,0.76,76.0
95,76.0,,0.76,72.2
83,76.0,,0.76,63.08
84,74.0,False,0.74,62.16
100,74.0,,0.74,74.0
99,74.0,,0.74,73.26
95,74.0,,0.74,70.3
96,74.0,,0.74,71.03999999999999
96,74.0,,0.74,71.03999999999999
92,74.0,,0.74,68.08
86,71.0,False,0.71,61.059999999999995
95,71.0,,0.71,67.45
97,71.0,,0.71,68.86999999999999
87,71.0,,0.71,61.769999999999996
93,71.0,,0.71,66.03
90,71.0,,0.71,63.9
83,71.0,,0.71,58.93
81,70.0,False,0.7,56.699999999999996
88,70.0,,0.7,61.599999999999994
89,70.0,,0.7,62.3
88,70.0,,0.7,61.599999999999994
94,70.0,,0.7,65.8
91,70.0,,0.7,63.699999999999996
82,70.0,,0.7,57.4
79,70.0,False,0.7,55.3
90,70.0,,0.7,62.99999999999999
95,70.0,,0.7,66.5
90,70.0,,0.7,62.99999999999999
93,70.0,,0.7,65.1
91,70.0,,0.7,63.699999999999996
88,70.0,,0.7,61.599999999999994
80,69.0,False,0.69,55.199999999999996
86,69.0,,0.69,59.339999999999996
89,69.0,,0.69,61.41
93,69.0,,0.69,64.17
90,69.0,,0.69,62.099999999999994
94,69.0,,0.69,64.86
89,69.0,,0.69,61.41
87,69.0,False,0.69,60.029999999999994
91,69.0,,0.69,62.78999999999999
100,69.0,,0.69,69.0
96,69.0,,0.69,66.24
94,69.0,,0.69,64.86
88,69.0,,0.69,60.72
82,69.0,,0.69,56.58
84,69.0,False,0.69,57.959999999999994
89,69.0,,0.69,61.41
94,69.0,,0.69,64.86
91,69.0,,0.69,62.78999999999999
94,69.0,,0.69,64.86
95,69.0,,0.69,65.55
79,69.0,,0.69,54.51
81,66.0,False,0.66,53.46
89,66.0,,0.66,58.74
92,66.0,,0.66,60.720000000000006
89,66.0,,0.66,58.74
92,66.0,,0.66,60.720000000000006
89,66.0,,0.66,58.74
80,66.0,,0.66,52.800000000000004
80,69.0,False,0.69,55.199999999999996
92,69.0,,0.69,63.48
100,69.0,,0.69,69.0
94,69.0,,0.69,64.86
94,69.0,,0.69,64.86
84,69.0,,0.69,57.959999999999994
74,69.0,,0.69,51.059999999999995
75,64.0,False,0.64,48.0
86,64.0,,0.64,55.04
81,64.0,,0.64,51.84
85,64.0,,0.64,54.4
82,64.0,,0.64,52.480000000000004
85,64.0,,0.64,54.4
72,64.0,,0.64,46.08
77,65.0,False,0.65,50.050000000000004
81,65.0,,0.65,52.65
86,65.0,,0.65,55.9
85,65.0,,0.65,55.25
83,65.0,,0.65,53.95
80,65.0,,0.65,52.0
73,65.0,,0.65,47.45
69,62.0,False,0.62,42.78
80,62.0,,0.62,49.6
81,62.0,,0.62,50.22
80,62.0,,0.62,49.6
89,62.0,,0.62,55.18
86,62.0,,0.62,53.32
73,62.0,,0.62,45.26
70,61.0,False,0.61,42.699999999999996
77,61.0,,0.61,46.97
88,61.0,,0.61,53.68
92,61.0,,0.61,56.12
95,61.0,,0.61,57.949999999999996
