Date,Tesla_unscaled,Tesla_monthly,scale,Tesla
1/1/2018,86,,,
1/2/2018,89,,,
1/3/2018,94,,,
1/4/2018,100,,,
1/5/2018,94,,,
1/6/2018,94,,,
1/7/2018,98,25,0.25,24.5
1/8/2018,93,25,0.25,23.25
1/9/2018,92,25,0.25,23
1/10/2018,86,25,0.25,21.5
1/11/2018,88,25,0.25,22
1/12/2018,88,25,0.25,22
1/13/2018,90,25,0.25,22.5
1/14/2018,92,23,0.23,21.16
1/15/2018,86,23,0.23,19.78
1/16/2018,81,23,0.23,18.63
1/17/2018,84,23,0.23,19.32
1/18/2018,82,23,0.23,18.86
1/19/2018,86,23,0.23,19.78
1/20/2018,82,23,0.23,18.86
1/21/2018,81,24,0.24,19.44
1/22/2018,79,24,0.24,18.96
1/23/2018,93,24,0.24,22.32
1/24/2018,91,24,0.24,21.84
1/25/2018,90,24,0.24,21.6
1/26/2018,93,24,0.24,22.32
1/27/2018,89,24,0.24,21.36
1/28/2018,90,24,0.24,21.6
1/29/2018,87,24,0.24,20.88
1/30/2018,87,24,0.24,20.88
1/31/2018,86,24,0.24,20.64
2/1/2018,27,24,0.24,6.48
2/2/2018,27,24,0.24,6.48
2/3/2018,25,24,0.24,6
2/4/2018,26,49,0.49,12.74
2/5/2018,25,49,0.49,12.25
2/6/2018,53,49,0.49,25.97
2/7/2018,100,49,0.49,49
2/8/2018,77,49,0.49,37.73
2/9/2018,55,49,0.49,26.95
2/10/2018,48,49,0.49,23.52
2/11/2018,44,31,0.31,13.64
2/12/2018,40,31,0.31,12.4
2/13/2018,34,31,0.31,10.54
2/14/2018,31,31,0.31,9.61
2/15/2018,31,31,0.31,9.61
2/16/2018,30,31,0.31,9.3
2/17/2018,32,31,0.31,9.92
2/18/2018,30,26,0.26,7.8
2/19/2018,30,26,0.26,7.8
2/20/2018,28,26,0.26,7.28
2/21/2018,28,26,0.26,7.28
2/22/2018,29,26,0.26,7.54
2/23/2018,30,26,0.26,7.8
2/24/2018,28,26,0.26,7.28
2/25/2018,28,24,0.24,6.72
2/26/2018,28,24,0.24,6.72
2/27/2018,26,24,0.24,6.24
2/28/2018,26,24,0.24,6.24
3/1/2018,68,24,0.24,16.32
3/2/2018,69,24,0.24,16.56
3/3/2018,69,24,0.24,16.56
3/4/2018,66,23,0.23,15.18
3/5/2018,63,23,0.23,14.49
3/6/2018,69,23,0.23,15.87
3/7/2018,65,23,0.23,14.95
3/8/2018,67,23,0.23,15.41
3/9/2018,69,23,0.23,15.87
3/10/2018,68,23,0.23,15.64
3/11/2018,68,23,0.23,15.64
3/12/2018,66,23,0.23,15.18
3/13/2018,66,23,0.23,15.18
3/14/2018,64,23,0.23,14.72
3/15/2018,65,23,0.23,14.95
3/16/2018,64,23,0.23,14.72
3/17/2018,62,23,0.23,14.26
3/18/2018,64,23,0.23,14.72
3/19/2018,65,23,0.23,14.95
3/20/2018,64,23,0.23,14.72
3/21/2018,64,23,0.23,14.72
3/22/2018,66,23,0.23,15.18
3/23/2018,69,23,0.23,15.87
3/24/2018,70,23,0.23,16.1
3/25/2018,68,29,0.29,19.72
3/26/2018,67,29,0.29,19.43
3/27/2018,75,29,0.29,21.75
3/28/2018,100,29,0.29,29
3/29/2018,99,29,0.29,28.71
3/30/2018,100,29,0.29,29
3/31/2018,91,29,0.29,26.39
4/1/2018,77,30,0.3,23.1
4/2/2018,100,30,0.3,30
4/3/2018,91,30,0.3,27.3
4/4/2018,71,30,0.3,21.3
4/5/2018,69,30,0.3,20.7
4/6/2018,63,30,0.3,18.9
4/7/2018,57,30,0.3,17.1
4/8/2018,58,24,0.24,13.92
4/9/2018,60,24,0.24,14.4
4/10/2018,57,24,0.24,13.68
4/11/2018,56,24,0.24,13.44
4/12/2018,62,24,0.24,14.88
4/13/2018,66,24,0.24,15.84
4/14/2018,58,24,0.24,13.92
4/15/2018,56,24,0.24,13.44
4/16/2018,59,24,0.24,14.16
4/17/2018,68,24,0.24,16.32
4/18/2018,64,24,0.24,15.36
4/19/2018,63,24,0.24,15.12
4/20/2018,58,24,0.24,13.92
4/21/2018,59,24,0.24,14.16
4/22/2018,59,22,0.22,12.98
4/23/2018,62,22,0.22,13.64
4/24/2018,56,22,0.22,12.32
4/25/2018,55,22,0.22,12.1
4/26/2018,55,22,0.22,12.1
