"","stock","price_ma","price_window","sentiment_ma","sentiment_window","return_percent"
"1","Amazon",NA,NA,"SMA",5,139.3492240395
"2","Amazon","SMA",5,NA,NA,102.169884122
"3","Amazon","SMA",5,"SMA",5,111.281064237
"4","Amazon",NA,NA,"WMA",5,144.5471949625
"5","Amazon","WMA",5,NA,NA,95.5698577399999
"6","Amazon","WMA",5,"WMA",5,140.5967549257
"7","Amazon",NA,NA,"EMA",5,140.1177052837
"8","Amazon","EMA",5,NA,NA,107.260252391
"9","Amazon","EMA",5,"EMA",5,141.7618506229
"10","Amazon",NA,NA,"SMA",10,135.8841120313
"11","Amazon","SMA",10,NA,NA,123.18246929
"12","Amazon","SMA",10,"SMA",10,164.37365297
"13","Amazon",NA,NA,"WMA",10,149.4429400437
"14","Amazon","WMA",10,NA,NA,125.4338095074
"15","Amazon","WMA",10,"WMA",10,162.5352304911
"16","Amazon",NA,NA,"EMA",10,154.6606642685
"17","Amazon","EMA",10,NA,NA,130.6915097843
"18","Amazon","EMA",10,"EMA",10,110.0288117058
"19","Amazon",NA,NA,"SMA",15,146.6905614018
"20","Amazon","SMA",15,NA,NA,140.519598958
"21","Amazon","SMA",15,"SMA",15,173.272654279
"22","Amazon",NA,NA,"WMA",15,124.8363284142
"23","Amazon","WMA",15,NA,NA,132.156976241
"24","Amazon","WMA",15,"WMA",15,167.0883863975
"25","Amazon",NA,NA,"EMA",15,120.6213498852
"26","Amazon","EMA",15,NA,NA,136.2202695447
"27","Amazon","EMA",15,"EMA",15,173.5962600373
"28","Amazon",NA,NA,"SMA",20,147.7710195404
"29","Amazon","SMA",20,NA,NA,153.8592471343
"30","Amazon","SMA",20,"SMA",20,172.280423668
"31","Amazon",NA,NA,"WMA",20,143.1302004783
"32","Amazon","WMA",20,NA,NA,135.7262288519
"33","Amazon","WMA",20,"WMA",20,173.272654279
"34","Amazon",NA,NA,"EMA",20,154.6707527392
"35","Amazon","EMA",20,NA,NA,136.0665377508
"36","Amazon","EMA",20,"EMA",20,172.280423668
"37","Amazon",NA,NA,"SMA",25,150.734044659
"38","Amazon","SMA",25,NA,NA,141.7425345434
"39","Amazon","SMA",25,"SMA",25,175.460833079
"40","Amazon",NA,NA,"WMA",25,152.8983180138
"41","Amazon","WMA",25,NA,NA,138.5633178859
"42","Amazon","WMA",25,"WMA",25,170.1670117256
"43","Amazon",NA,NA,"EMA",25,150.734044659
"44","Amazon","EMA",25,NA,NA,132.5003322145
"45","Amazon","EMA",25,"EMA",25,170.1670117256
"46","Amazon",NA,NA,"SMA",30,166.1211139639
"47","Amazon","SMA",30,NA,NA,119.6783013485
"48","Amazon","SMA",30,"SMA",30,174.4953433354
"49","Amazon",NA,NA,"WMA",30,152.8983180138
"50","Amazon","WMA",30,NA,NA,137.1951234156
"51","Amazon","WMA",30,"WMA",30,175.460833079
"52","Amazon",NA,NA,"EMA",30,148.6017545248
"53","Amazon","EMA",30,NA,NA,125.5508820863
"54","Amazon","EMA",30,"EMA",30,175.460833079
"55","Amazon",NA,NA,"SMA",35,167.1719766231
"56","Amazon","SMA",35,NA,NA,121.2022019285
"57","Amazon","SMA",35,"SMA",35,173.0976564728
"58","Amazon",NA,NA,"WMA",35,152.3713606476
"59","Amazon","WMA",35,NA,NA,131.9811006719
"60","Amazon","WMA",35,"WMA",35,175.460833079
"61","Amazon",NA,NA,"EMA",35,152.3713606476
"62","Amazon","EMA",35,NA,NA,127.9979968135
"63","Amazon","EMA",35,"EMA",35,170.1362735875
"64","Amazon",NA,NA,"SMA",40,173.8034026114
"65","Amazon","SMA",40,NA,NA,117.7003415065
